2025-03-27 21:56:30 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:56:32 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:56:35 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:56:37 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:56:50 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:56:52 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:56:55 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:56:58 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:57:00 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:57:03 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:57:05 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:57:08 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:57:10 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:57:13 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:57:26 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:57:28 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:57:31 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:57:33 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:57:36 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:57:38 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:57:41 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:57:44 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:57:46 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:57:49 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:58:01 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:58:04 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:58:06 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:58:09 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:58:12 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:58:14 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:58:17 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:58:19 - Клик по координатам: (1324, 1011) с кнопкой right
2025-03-27 21:58:22 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:58:24 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:58:37 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:58:39 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:58:42 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:58:45 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:58:47 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:58:50 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:58:52 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:58:55 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 21:58:57 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:59:00 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:59:13 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:59:15 - Клик по координатам: (1330, 984) с кнопкой right
2025-03-27 21:59:18 - Клик по координатам: (1327, 475) с кнопкой right
2025-03-27 21:59:20 - Клик по координатам: (693, 481) с кнопкой right
2025-03-27 21:59:23 - Клик по координатам: (37, 454) с кнопкой right
2025-03-27 21:59:25 - Клик по координатам: (691, 521) с кнопкой right
2025-03-27 21:59:28 - Клик по координатам: (34, 510) с кнопкой right
2025-03-27 21:59:31 - Клик по координатам: (1332, 977) с кнопкой right
2025-03-27 21:59:33 - Клик по координатам: (706, 976) с кнопкой right
2025-03-27 21:59:36 - Клик по координатам: (702, 983) с кнопкой right
2025-03-27 21:59:48 - Клик по координатам: (1331, 484) с кнопкой right
2025-03-27 21:59:51 - Клик по координатам: (1330, 984) с кнопкой right
